'label1','label2','in','on','belongs_in','belongs_on','is_a'
'object0','object0',0,1,,,0
'object0','object1',,1,0,,
'object0','object2',,,0,,
'object0','object3',,,,,
'object0','object4',,,,,0
'object0','object5',,,,,
'object0','object6',,,,,
'object0','object7',,1,,,
'object0','object8',,,,,0
'object0','object9',,1,,,
'object0','object10',,,0,,
'object0','object11',,,,0,0
'object0','object12',,,0,,
'object0','object13',,,,,
'object0','object14',,1,0,,
'object0','object15',,,,,
'object0','object16',0,,,,0
'object0','object17',0,,,,0
'object0','object18',,,,,
'object0','object19',,,0,0,
'object0','object20',0,,,,
'object0','object21',,1,,,0
'object0','object22',,,,,0
'object0','object23',,,0,,
'object0','object24',,,,,0
'object0','object25',,1,,,
'object0','object26',,,0,,0
'object0','object27',,,0,,
'object0','object28',,,,,
'object0','object29',,,,,
'object0','object30',,,0,,
'object0','object31',,,,,
'object0','object32',,1,,,
'object0','object33',,1,,,
'object0','object34',,,0,,
'object0','object35',0,,,,
'object0','object36',,,,,
'object0','object37',,,,,0
'object0','object38',,,,0,
'object0','object39',,,,,
'object0','object40',,,,,
'object0','object41',,,,,
'object0','object42',,1,,,
'object0','object43',0,,,,0
'object0','object44',0,1,,,
'object0','object45',0,,,,0
'object0','object46',,1,,,0
'object0','object47',,,,,
'object0','object48',,,0,,
'object0','object49',,,,,
'object0','object50',,,,,
'object0','object51',,,,,
'object0','object52',,,,,0
'object0','object53',,,,,
'object0','object54',,,,0,
'object0','object55',,,,,
'object0','object56',0,,,0,
'object0','object57',,0,0,0,0
'object0','object58',,,,,0
'object0','object59',0,,,0,
'object0','object60',0,1,,,
'object0','object61',,,,,
'object0','object62',0,,,,
'object1','object0',,,,,0
'object1','object1',,,,,
'object1','object2',,,0,,
'object1','object3',,,,,
'object1','object4',,,,0,
'object1','object5',,,,,0
'object1','object6',0,,0,0,
'object1','object7',,,,0,
'object1','object8',0,,,0,
'object1','object9',0,1,,0,
'object1','object10',0,,,,
'object1','object11',0,,,,
'object1','object12',,,,,
'object1','object13',,1,0,,
'object1','object14',,,,,
'object1','object15',,,,,
'object1','object16',,1,,,
'object1','object17',,1,,,
'object1','object18',0,,,,
'object1','object19',,,,,0
'object1','object20',,,,,
'object1','object21',,,0,0,
'object1','object22',0,,,,0
'object1','object23',,1,0,,
'object1','object24',0,,0,,
'object1','object25',,,,,
'object1','object26',,,,,
'object1','object27',,,0,0,0
'object1','object28',,,,,
'object1','object29',,1,,,
'object1','object30',,,,,0
'object1','object31',,,,,
'object1','object32',,1,,,
'object1','object33',,,,,
'object1','object34',0,,0,0,0
'object1','object35',,,,0,0
'object1','object36',,,,,
'object1','object37',,,,,
'object1','object38',,1,,0,
'object1','object39',0,,,,0
'object1','object40',,,,,
'object1','object41',,,,0,
'object1','object42',,,0,,
'object1','object43',,,,0,
'object1','object44',,,,,0
'object1','object45',,,,0,
'object1','object46',,,0,,
'object1','object47',,,0,,
'object1','object48',,,,0,0
'object1','object49',,,,0,
'object1','object50',,,,,
'object1','object51',,,,,
'object1','object52',1,,,,
'object1','object53',1,0,,,
'object1','object54',,,,,
'object1','object55',,,,0,
'object1','object56',,,0,0,
'object1','object57',,0,,,
'object1','object58',,,0,,
'object1','object59',,,0,0,0
'object1','object60',0,,,,
'object1','object61',,0,,,
'object1','object62',,,,,
'object2','object0',0,,0,,
'object2','object1',,,,0,
'object2','object2',,,,,
'object2','object3',,,,,0
'object2','object4',,,,0,
'object2','object5',,,,0,
'object2','object6',,,,,
'object2','object7',,,,,
'object2','object8',,,0,,
'object2','object9',,1,,0,
'object2','object10',,1,,0,
'object2','object11',,1,,,0
'object2','object12',0,,,,
'object2','object13',,,,,
'object2','object14',0,,,,0
'object2','object15',,,,,0
'object2','object16',,,,,
'object2','object17',0,,,,
'object2','object18',,,0,,
'object2','object19',,,,,0
'object2','object20',0,,,,
'object2','object21',,,,0,
'object2','object22',0,,,,
'object2','object23',,,,0,0
'object2','object24',,,,,
'object2','object25',,,,,0
'object2','object26',,,,0,
'object2','object27',,,,0,
'object2','object28',0,,,,
'object2','object29',,,,,
'object2','object30',,,0,,
'object2','object31',,,,0,0
'object2','object32',,,,,
'object2','object33',0,,,,
'object2','object34',,,,,
'object2','object35',,,,,
'object2','object36',,,,,
'object2','object37',,,,,
